Coverage,Geography,Type,Detail,URL
EW,LAD15,Boundaries,FullClipped,https://opendata.arcgis.com/datasets/8edafbe3276d4b56aec60991cbddda50_0.zip
GB,LAD16,Boundaries,UltraGeneralisedClipped,https://opendata.arcgis.com/datasets/686603e943f948acaa13fb5d2b0f1275_4.zip
GB,LAD16,Boundaries,SuperGeneralisedClipped,https://opendata.arcgis.com/datasets/686603e943f948acaa13fb5d2b0f1275_3.zip
EW,WD16,Boundaries,FullClipped,https://opendata.arcgis.com/datasets/d5c9c1d89a5a44e9a7f88f182ffe5ba2_0.zip
EW,MSOA11,Centroids,PopulationWeighted,https://opendata.arcgis.com/datasets/b0a6d8a3dc5d4718b3fd62c548d60f81_0.zip
EW,MSOA11,Boundaries,SuperGeneralisedClipped,https://opendata.arcgis.com/datasets/826dc85fb600440889480f4d9dbb1a24_3.zip
EW,MSOA11,Boundaries,GeneralisedClipped,https://opendata.arcgis.com/datasets/826dc85fb600440889480f4d9dbb1a24_2.zip
EW,MSOA11,Boundaries,FullClipped,https://opendata.arcgis.com/datasets/826dc85fb600440889480f4d9dbb1a24_0.zip
EW,MSOA11,Boundaries,FullExtent,https://opendata.arcgis.com/datasets/826dc85fb600440889480f4d9dbb1a24_1.zip
EW,LSOA11,Centroids,PopulationWeighted,https://opendata.arcgis.com/datasets/b7c49538f0464f748dd7137247bbc41c_0.zip
EW,LSOA11,Boundaries,SuperGeneralisedClipped,https://opendata.arcgis.com/datasets/da831f80764346889837c72508f046fa_3.zip
EW,LSOA11,Boundaries,GeneralisedClipped,https://opendata.arcgis.com/datasets/da831f80764346889837c72508f046fa_2.zip
EW,LSOA11,Boundaries,FullClipped,https://opendata.arcgis.com/datasets/da831f80764346889837c72508f046fa_0.zip
EW,LSOA11,Boundaries,FullExtent,https://opendata.arcgis.com/datasets/da831f80764346889837c72508f046fa_1.zip
EW,OA11,Centroids,PopulationWeighted,https://opendata.arcgis.com/datasets/ba64f679c85f4563bfff7fad79ae57b1_0.zip
EW,OA11,Boundaries,SuperGeneralisedClipped,
EW,OA11,Boundaries,GeneralisedClipped,
EW,OA11,Boundaries,FullClipped,
EW,OA11,Boundaries,FullExtent,

